Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2018;;;;;;;;;;;;
;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Renda (R$);Público 
2018;B1700560500000;Cartas Para Um Ladrão De Livros;Caio Chatagnier Cavechini/Carlos Juliano M. F. T. Barros;Documentário;Boutique Filmes;SP;Globo Filmes;RJ;Boutique Filmes;4;5592.00;359
2018;B1800264200000;Carvana;Luelane Maria Loiola Corrêa;Documentário;Mac Comunicacão;RJ; -; -;Mac Comunicação;6;7506.00;689
2018;B1800482700000;Chacrinha, O Velho Guerreiro;Andrucha Waddington;Ficção;Globo Filmes/Media Bridge;RJ;Conspiração Filmes/José Bonifácio de Oliveira Sobrinho;RJ;Paris;270;529851.00;36195
2018;B1800184900000;Chega De Fiu Fiu;Amanda K. Lemos/Fernanda Alves Frazao;Documentário;Brodagem Filmes;SP; -; -;Taturana;4;13061.00;884
2018;B1700249500000;Comboio De Sal E Açúcar;Licinio Azevedo;Ficção;Panda Filmes;RS; -; -;Livres Distribuidora;19;40467.00;3130
2018;B1700468400000;Como É  Cruel Viver Assim;Júlia Rezende;Ficção;Morena Filmes;RJ; -; -;H2O Films;38;75055.00;5181
2018;B1800311900000;Como Fotografei Os Yanomami;Otavio Cury;Documentário;Outros Filmes;SP;Studio Riff;SP;Descoloniza Filmes;3;3676.00;345
2018;B1700416600000;Como Você Me Vê?;Felipe Carneiro Bond Borges;Documentário;Bond's Produções;RJ;Canal Brasil;RJ;Bond'S Filmes;2;2305.00;167
2018;B1700449500000;Construindo Pontes;Heloisa Passos;Documentário;Máquina Filmes;PR; -; -;Máquina Filmes;10;24710.00;2538
2018;B1700529900000;Coração De Cowboy;Guilherme Francisco Pereira;Ficção;Dodo Filmes;SP; -; -;O2 Play;198;414522.00;30688
2018;B1600707400000;Corpo Em Terapia;Marcia Gutierres Paveck;Documentário;RB6;SP;Araruna Filmes/Marcia Gutierres Paveck;SP;Rb6;2;8435.00;607
2018;B1800340300000;Crô Em Familia;Maria Lupicinia Viana De Paula Gigliotti;Ficção;Total Entertainment;RJ;Globo Filmes/Xanadu;RJ;Imagem;613;6822165.00;478114
2018;B1700580400000;Dedo Na Ferida;Silvio Tendler;Documentário;Caliban Produções Cinematográficas;RJ;FISENGE/SENGE RJ;RJ;Caliban;11;65100.00;4720
2018;B1800561400000;Detetives Do Prédio Azul 2 - O Mistério Italiano;Vivianne Rise Jundi;Ficção;Paris Entretenimento;RJ;Globo Filmes/Globosat/Rsmts Empreendimentos e Participações;RJ;Paris;1,046;12333886.00;884775
2018;B1800445100000;Diamantino;Gabriel Abrantes;Ficção;Syndrome Films;RJ; -; -;Vitrine Filmes;17;34233.00;2200
2018;B1800530700000;Diário Da Greve;Guilherme Sarmiento Da Silva;Ficção;Griot Filmes;BA; -; -;Griot Producoes;1;95.00;8
2018;B1800422100000;Djon África;Filipa Reis/João Miller Guerra;Ficção;Desvia;PE; -; -;Vitrine Filmes;36;20959.00;3131
2018;B1700316900000;Em 97 Era Assim;Zeca Brito;Ficção;Panda Filmes;RS;Coelho Voador/Anti Filmes;RS;Bretz Filmes;17;14283.00;1238
2018;B1700546500000;Em Nome Da América;Fernando Weller;Documentário;Jaragua Produções/Plano 9 Produções;PE;Fernando Weller; -;Inquieta Cultura E Comunicação;6;10648.00;1188
2018;B1700189700000;Em Um Mundo Interior;Flavio Frederico/Mariana Pamplona;Documentário;Kinoscópio;SP;Inacreditavel Comercio de Aparelhos Fotograficos e Servicos Ltda - Me;SP;Elo Company;29;23868.00;2364
2018;B1700402200000;Escolas Em Luta;Eduardo Consonni/Rodrigo Teixeira Marques/Tiago Tambelli;Documentário;Lente Viva Filmes;SP;Complô;SP;Taturana;1;2245.00;311
2018;B1700544600000;Estrada De Sonhos;Pedro Von Krüger;Documentário;Com Domínio Filmes;RJ; -; -;Com Domínio Filmes;2;4991.00;332
2018;B1101515900000;Estradeiros;Renata Pinheiro/Sérgio Oliveira;Documentário;Aroma Filmes/Sergio Oliveira;PE;EBC TV Brasil;DF;Boulevard Filmes;2;1275.00;183
2018;B1800462300000;Excelentíssimos;Douglas Duarte Menhinick;Documentário;Esquina Filmes;RJ; -; -;Vitrine Filmes;11;24392.00;1949
